timestep,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/n_updates
311296,10.4503,960.0,3.656289,6.22964,0.000951,-5.236506,0.010221,0.124121,0.2,0.0003,0.959234,1510.0
313344,9.6484,960.0,3.136599,6.03646,-0.002765,-5.229394,0.015359,0.165625,0.2,0.0003,0.955783,1520.0
315392,11.6459,960.0,2.453746,5.856792,0.013571,-5.261687,0.024347,0.229834,0.2,0.0003,0.93756,1530.0
317440,12.3483,960.0,2.671577,6.567411,-0.003719,-5.199638,0.009201,0.118164,0.2,0.0003,0.94647,1540.0
319488,13.2048,960.0,1.43791,5.88754,-0.003424,-5.079077,0.007717,0.087988,0.2,0.0003,0.9244,1550.0
321536,16.0133,960.0,3.632564,5.915828,-0.001755,-5.182179,0.017792,0.215332,0.2,0.0003,0.959488,1560.0
323584,13.254,960.0,4.665348,7.560054,-0.005449,-5.200949,0.010368,0.182715,0.2,0.0003,0.925352,1570.0
325632,14.7958,960.0,3.411466,6.413588,-0.000452,-5.142896,0.009735,0.148438,0.2,0.0003,0.904576,1580.0
327680,11.9896,960.0,4.42297,7.78614,-0.003498,-5.087793,0.014495,0.079541,0.2,0.0003,0.924166,1590.0
329728,15.3801,960.0,2.732401,6.705982,-0.001591,-4.979736,0.00806,0.087354,0.2,0.0003,0.838422,1600.0
331776,14.3791,960.0,2.829072,6.548784,-0.002526,-5.217644,0.006449,0.052246,0.2,0.0003,0.922213,1610.0
333824,17.8526,960.0,2.977389,7.438878,-0.006602,-5.094481,0.010789,0.092969,0.2,0.0003,0.925464,1620.0
335872,18.3111,960.0,1.943609,5.039173,-0.00518,-5.182885,0.014056,0.189697,0.2,0.0003,0.958579,1630.0
337920,19.5424,960.0,2.643806,6.271627,-0.004603,-5.075307,0.014728,0.187891,0.2,0.0003,0.961837,1640.0
339968,19.8533,960.0,4.788454,7.621282,-0.004298,-4.937385,0.009946,0.125977,0.2,0.0003,0.930564,1650.0
342016,21.3474,960.0,3.029846,7.217203,-0.005971,-4.924679,0.010682,0.06499,0.2,0.0003,0.925385,1660.0
344064,21.8304,960.0,2.536037,5.914601,-0.005104,-5.077297,0.024564,0.115137,0.2,0.0003,0.961897,1670.0
346112,21.1978,960.0,2.859661,6.25788,-0.003743,-5.004677,0.011185,0.14707,0.2,0.0003,0.959648,1680.0
348160,19.4749,960.0,2.271686,5.581569,-0.001151,-5.109484,0.015153,0.141748,0.2,0.0003,0.955668,1690.0
350208,17.4791,960.0,4.371342,8.618347,-0.00455,-4.920253,0.009959,0.102197,0.2,0.0003,0.923283,1700.0
352256,18.0491,960.0,3.479278,6.374973,-0.002896,-4.811706,0.010927,0.152881,0.2,0.0003,0.92187,1710.0
354304,23.3224,960.0,4.590748,8.369121,-0.001876,-4.784396,0.010645,0.138086,0.2,0.0003,0.918358,1720.0
356352,25.0814,960.0,3.525182,7.046373,-0.004371,-4.911644,0.012216,0.123682,0.2,0.0003,0.947372,1730.0
